db_id,question,query
cinema,"show the average, minimum, and maximum capacity for all the cinemas opened in year 2011 or later.","select avg(capacity) ,  min(capacity) ,  max(capacity) from cinema where openning_year  >=  2011"
music_1,what are the average rating and resolution of songs that are in bangla?,"select avg(rating) ,  avg(resolution) from song where languages  =  ""bangla"""
news_report,show the names of journalists and the names of the events they reported in ascending order,"select t3.name ,  t2.name from news_report as t1 join event as t2 on t1.event_id  =  t2.event_id join journalist as t3 on t1.journalist_id  =  t3.journalist_id order by t2.event_attendance asc"
gymnast,what is the age of the tallest person?,select age from people order by height desc limit 1
yelp,"how many target are there in "" los angeles "" ?","select count ( distinct business_id ) from business where city  =  ""los angeles"" and name  =  ""target"";"
customers_and_products_contacts,how many products have a price higher than the average?,select count(*) from products where product_price  >  (select avg(product_price) from products)
dorm_1,find the average age of all students living in the each city.,"select avg(age) ,  city_code from student group by city_code"
ship_1,which rank is the most common among captains?,select rank from captain group by rank order by count(*) desc limit 1
solvency_ii,list the names of products that are not in any event.,select product_name from products where product_id not in (select product_id from products_in_events)
game_1,how many different students are involved in sports?,select count(distinct stuid) from sportsinfo
concert_singer,list singer names and number of concerts for each singer.,"select t2.name ,  count(*) from singer_in_concert as t1 join singer as t2 on t1.singer_id  =  t2.singer_id group by t2.singer_id"
academic,"return me the journal, which have the most number of papers by "" h. v. jagadish "" .","select t2.name from publication as t4 join journal as t2 on t4.jid  =  t2.jid join writes as t3 on t3.pid  =  t4.pid join author as t1 on t3.aid  =  t1.aid where t1.name  =  ""h. v. jagadish"" group by t2.name order by count ( distinct t4.title ) desc limit 1;"
geo,what is the smallest state that the mississippi river runs through,"select state_name from state where area  =  ( select min ( area ) from state where state_name in ( select traverse from river where river_name  =  ""mississippi"" ) ) and state_name in ( select traverse from river where river_name  =  ""mississippi"" );"
customers_card_transactions,how many accounts does the customer with first name art and last name turcotte have?,"select count(*) from accounts as t1 join customers as t2 on t1.customer_id  =  t2.customer_id where t2.customer_first_name  =  ""art"" and t2.customer_last_name  =  ""turcotte"""
club_1,"find all the female members of club ""bootup baltimore"". show the first name and last name.","select t3.fname ,  t3.lname from club as t1 join member_of_club as t2 on t1.clubid  =  t2.clubid join student as t3 on t2.stuid  =  t3.stuid where t1.clubname  =  ""bootup baltimore"" and t3.sex  =  ""f"""
e_learning,what are the personal names used both by some course authors and some students?,select personal_name from course_authors_and_tutors intersect select personal_name from students
customers_and_invoices,"show id, first name and last name for all customers and the number of accounts.","select t1.customer_id ,  t2.customer_first_name ,  t2.customer_last_name ,  count(*) from accounts as t1 join customers as t2 on t1.customer_id  =  t2.customer_id group by t1.customer_id"
customers_campaigns_ecommerce,what are the name and payment method of customers who have both mailshots in 'order' outcome and mailshots in 'no response' outcome.,"select t2.customer_name ,  t2.payment_method from mailshot_customers as t1 join customers as t2 on t1.customer_id  =  t2.customer_id where t1.outcome_code  =  'order' intersect select t2.customer_name ,  t2.payment_method from mailshot_customers as t1 join customers as t2 on t1.customer_id  =  t2.customer_id where t1.outcome_code  =  'no response'"
academic,"return me the keywords related to "" h. v. jagadish "" .","select t1.keyword from publication_keyword as t5 join keyword as t1 on t5.kid  =  t1.kid join publication as t3 on t3.pid  =  t5.pid join writes as t4 on t4.pid  =  t3.pid join author as t2 on t4.aid  =  t2.aid where t2.name  =  ""h. v. jagadish"";"
loan_1,what are the names of customers who have taken both mortgage and auto loans?,select t1.cust_name from customer as t1 join loan as t2 on t1.cust_id  =  t2.cust_id where loan_type  =  'mortgages' intersect select t1.cust_name from customer as t1 join loan as t2 on t1.cust_id  =  t2.cust_id where loan_type  =  'auto'
student_assessment,how many courses does the student with id 171 actually attend?,select count(*) from courses as t1 join student_course_attendance as t2 on t1.course_id = t2.course_id where t2.student_id = 171
sports_competition,what are the positions of both players that have more than 20 20 points and less than 10 points?,select position from player where points  >  20 intersect select position from player where points  <  10
wrestler,"what are the elimination moves of wrestlers whose team is ""team orton""?","select elimination_move from elimination where team  =  ""team orton"""
tvshow,what are the languages used by the least number of tv channels and how many channels use it?,"select language ,  count(*) from tv_channel group by language order by count(*) asc limit 1;"
store_1,"what are the top 10 customers' first and last names with the highest gross sales, and also what are the sales?","select t1.first_name ,  t1.last_name ,  sum(t2.total) from customers as t1 join invoices as t2 on t2.customer_id  =  t1.id group by t1.id order by sum(t2.total) desc limit 10;"
soccer_2,find the average and maximum hours for the students whose tryout decision is yes.,"select avg(t1.hs) ,  max(t1.hs) from player as t1 join tryout as t2 on t1.pid  =  t2.pid where t2.decision  =  'yes'"
protein_institute,show the names of buildings except for those having an institution founded in 2003.,select name from building except select t1.name from building as t1 join institution as t2 on t1.building_id  =  t2.building_id where t2.founded  =  2003
customer_complaints,find the phone number of all the customers and staff.,select phone_number from customers union select phone_number from staff
customer_deliveries,find the name of the most expensive product.,select product_name from products order by product_price desc limit 1
academic,"return me the number of papers by "" h. v. jagadish "" on pvldb .","select count ( distinct t4.title ) from publication as t4 join journal as t2 on t4.jid  =  t2.jid join writes as t3 on t3.pid  =  t4.pid join author as t1 on t3.aid  =  t1.aid where t1.name  =  ""h. v. jagadish"" and t2.name  =  ""pvldb"";"
election,show the name of the county with the biggest population.,select county_name from county order by population desc limit 1
